Time,PosX,PosY,PosZ,VelX,VelY,VelZ,AccelX,AccelY,AccelZ,AngVelX,AngVelY,AngVelZ,Pitch,Roll,PitchVel,RollVel,PilotID
0.68,554.9913,76.89791,-1015.696,-0.05671206,-0.5688778,0.02799099,-0.09217052,1.887397,0.3238556,0.02946344,-0.007067794,0.08393972,-0.04348179,DefaultPilot
0.7,554.9901,76.88737,-1015.695,-0.06338295,-0.5267318,0.03077216,-0.0897431,2.118412,0.3291382,0.03111287,-0.007731008,0.0869773,-0.03509843,DefaultPilot
0.72,554.9886,76.87727,-1015.694,-0.06986514,-0.5049497,0.03338438,-0.05940419,1.117905,0.3607129,0.0328188,-0.008147988,0.09119052,-0.02212433,DefaultPilot
0.74,554.9871,76.8672,-1015.694,-0.076084,-0.5035301,0.03584291,-0.04349197,0.103792,0.3964925,0.03464074,-0.008492793,0.09573838,-0.01831059,DefaultPilot
0.76,554.9855,76.857,-1015.693,-0.08238035,-0.5101926,0.03830725,-0.04438624,-0.2777154,0.4253168,0.03644781,-0.008968394,0.09613037,-0.02517418,DefaultPilot
0.78,554.9837,76.8465,-1015.692,-0.08874135,-0.524937,0.04075485,-0.05385653,-0.7252341,0.4574154,0.03825518,-0.009738959,0.09535803,-0.04081371,DefaultPilot
0.8,554.9818,76.83555,-1015.691,-0.09516339,-0.5477632,0.04313405,-0.06019291,-1.08167,0.4964468,0.04003499,-0.01085407,0.09499665,-0.05910472,DefaultPilot
0.82,554.9797,76.82462,-1015.69,-0.1029244,-0.5461247,0.04582442,-0.09278312,0.1340647,0.4912985,0.04187062,-0.01208426,0.0965106,-0.06525487,DefaultPilot
0.84,554.9775,76.81422,-1015.689,-0.1121537,-0.520027,0.04878842,-0.1412024,1.338704,0.4720941,0.0436615,-0.01341849,0.09498008,-0.07054863,DefaultPilot
0.86,554.975,76.80449,-1015.688,-0.122215,-0.4866386,0.05177718,-0.1833517,1.723367,0.467812,0.04537886,-0.01494088,0.09117205,-0.08094232,DefaultPilot
0.88,554.9724,76.79553,-1015.687,-0.1330592,-0.4478267,0.05473667,-0.2240194,1.991044,0.4624974,0.04701979,-0.01667325,0.0869749,-0.09154668,DefaultPilot
0.9,554.9695,76.78745,-1015.686,-0.1446771,-0.4043254,0.05762566,-0.2142663,2.25421,0.4661185,0.04879427,-0.01812443,0.09384214,-0.07701676,DefaultPilot
0.92,554.9664,76.77978,-1015.685,-0.1556989,-0.3834984,0.06015573,-0.1664795,1.116734,0.5209677,0.05074356,-0.0192067,0.1037574,-0.05760996,DefaultPilot
0.94,554.9631,76.77207,-1015.684,-0.1660193,-0.3853423,0.06239818,-0.1468495,0.004915417,0.5772634,0.05283441,-0.02010381,0.1110099,-0.04730222,DefaultPilot
0.96,554.9595,76.76417,-1015.682,-0.1763474,-0.395178,0.06456663,-0.151452,-0.3979083,0.6144978,0.05492591,-0.02109862,0.1106283,-0.0526403,DefaultPilot
0.98,554.9558,76.75591,-1015.681,-0.1866537,-0.4130047,0.0666457,-0.1666073,-0.7938005,0.6526853,0.05688082,-0.02246423,0.1033762,-0.07245199,DefaultPilot
1,554.9518,76.74713,-1015.68,-0.1969136,-0.4388212,0.0685716,-0.1771917,-1.15608,0.6986894,0.05866638,-0.02430068,0.09460443,-0.09727906,DefaultPilot
1.02,554.9476,76.73835,-1015.678,-0.2092216,-0.4389414,0.07060604,-0.2215613,0.1103208,0.6698264,0.06043013,-0.02629586,0.09307864,-0.1056614,DefaultPilot
1.04,554.9432,76.73008,-1015.677,-0.2237221,-0.4133747,0.07264957,-0.2880423,1.401732,0.6211914,0.06211481,-0.02840044,0.09002655,-0.1118385,DefaultPilot
1.06,554.9384,76.72249,-1015.675,-0.2393712,-0.3794208,0.07449128,-0.3533622,1.847417,0.5990906,0.06369294,-0.03078536,0.0827755,-0.1262753,DefaultPilot
1.08,554.9333,76.71569,-1015.674,-0.2560205,-0.339772,0.07605661,-0.4045897,2.072499,0.5816717,0.06512303,-0.03335688,0.07629152,-0.1360894,DefaultPilot
1.1,554.9278,76.70975,-1015.672,-0.273537,-0.2966153,0.07729667,-0.3862076,2.244157,0.5852899,0.06676687,-0.0356281,0.08811956,-0.1201472,DefaultPilot
1.12,554.922,76.70421,-1015.671,-0.2898726,-0.2773054,0.0781385,-0.3304584,1.12498,0.668749,0.06875904,-0.0374766,0.1041438,-0.09804993,DefaultPilot
1.14,554.9159,76.69857,-1015.669,-0.3049142,-0.2818361,0.0787022,-0.3169864,-0.03308982,0.7520677,0.0708732,-0.03915462,0.1121545,-0.08927104,DefaultPilot
